,size,system,circularity,stage,produce,produce2,yield,yield2
V39,1501,UF4,0.0,4,small veg,,149949.9,
V41,1340,UF3,0.4,4,mushroom,,167500.0,
V42,1288,UF6,0.0,4,small veg,big veg,16100.0,3477.6000000000004
V43,1275,UF6,0.0,4,small veg,big veg,15937.5,3442.5
V46,1153,UF6,0.0,4,small veg,big veg,14412.5,3113.1000000000004
V47,1148,UF4,0.0,4,small veg,,114685.20000000001,
V48,1130,UF6,0.0,4,small veg,big veg,14125.0,3051.0
V49,1091,UF6,0.0,4,small veg,big veg,13637.5,2945.7000000000003
V50,1060,UF3,0.25,4,mushroom,,132500.0,
V51,1055,UF4,0.0,4,small veg,,105394.5,
V52,1044,UF4,0.0,4,small veg,,104295.6,
V53,1034,UF1,1.0,4,worm,,5035.58,
V54,950,UF4,0.0,4,small veg,,94905.0,
V55,937,UF3,0.25,4,mushroom,,117125.0,
V56,886,UF3,0.4,4,mushroom,,110750.0,
V57,886,UF4,0.0,4,small veg,,88511.40000000001,
V58,886,UF4,0.0,4,small veg,,88511.40000000001,
V59,886,UF4,0.0,4,small veg,,88511.40000000001,
V60,886,UF4,0.0,4,small veg,,88511.40000000001,
V61,886,UF4,0.0,4,small veg,,88511.40000000001,
V62,886,UF4,0.0,4,small veg,,88511.40000000001,
V63,886,UF4,0.0,4,small veg,,88511.40000000001,
V64,886,UF4,0.0,4,small veg,,88511.40000000001,
V65,884,UF6,0.0,4,small veg,big veg,11050.0,2386.8
V67,849,UF6,0.0,4,small veg,big veg,10612.5,2292.3
V68,817,UF4,0.3333333333333333,4,small veg,,81618.3,
V69,816,UF4,0.0,4,small veg,,81518.40000000001,
V71,782,UF4,0.0,4,small veg,,78121.8,
V73,735,UF1,1.0,4,worm,,3579.4500000000003,
V74,734,UF4,0.0,4,small veg,,73326.6,
V75,731,UF4,0.0,4,small veg,,73026.90000000001,
V76,694,UF6,0.0,4,small veg,big veg,8675.0,1873.8000000000002
V78,641,UF4,0.0,4,small veg,,64035.9,
V79,636,UF4,0.3333333333333333,4,small veg,,63536.4,
V80,619,UF6,0.0,4,small veg,big veg,7737.5,1671.3000000000002
V81,603,UF6,0.0,4,small veg,big veg,7537.5,1628.1000000000001
V82,566,UF6,0.0,4,small veg,big veg,7075.0,1528.2
V84,559,UF6,0.0,4,small veg,big veg,6987.5,1509.3000000000002
V85,549,UF4,0.0,4,small veg,,54845.100000000006,
V86,545,UF3,0.4,4,mushroom,,68125.0,
V87,513,UF4,0.0,4,small veg,,51248.700000000004,
V88,506,UF4,0.0,4,small veg,,50549.4,
V89,501,UF6,0.0,4,small veg,big veg,6262.5,1352.7
V91,475,UF4,0.0,4,small veg,,47452.5,
V92,475,UF4,0.0,4,small veg,,47452.5,
V94,443,UF4,0.0,4,small veg,,44255.700000000004,
V97,402,UF4,0.0,4,small veg,,40159.8,
V100,373,UF2,1.0,4,fish,,5595.0,
V102,367,UF4,0.0,4,small veg,,36663.3,
V103,360,UF4,0.0,4,small veg,,35964.0,
V106,329,UF4,0.0,4,small veg,,32867.1,
V107,319,UF6,0.0,4,small veg,big veg,3987.5,861.3000000000001
V108,315,UF4,0.0,4,small veg,,31468.5,
V109,307,UF6,0.0,4,small veg,big veg,3837.5,828.9000000000001
V110,306,UF4,0.0,4,small veg,,30569.4,
V112,273,UF3,0.75,4,mushroom,,34125.0,
V113,265,UF4,0.0,4,small veg,,26473.5,
V115,237,UF4,0.0,4,small veg,,23676.300000000003,
V116,221,UF6,0.0,4,small veg,big veg,2762.5,596.7
V117,216,UF4,0.0,4,small veg,,21578.4,
V118,216,UF4,0.0,4,small veg,,21578.4,
V120,202,UF6,0.0,4,small veg,big veg,2525.0,545.4000000000001
V121,199,UF4,0.0,4,small veg,,19880.100000000002,
V122,192,UF4,0.0,4,small veg,,19180.800000000003,
V123,191,UF1,1.0,4,worm,,930.1700000000001,
V124,185,UF1,1.0,4,worm,,900.95,
V125,177,UF4,0.0,4,small veg,,17682.3,
V126,177,UF1,1.0,4,worm,,861.99,
V127,166,UF4,0.0,4,small veg,,16583.4,
V128,158,UF4,0.0,4,small veg,,15784.2,
V129,149,UF4,0.0,4,small veg,,14885.1,
V130,147,UF6,0.0,4,small veg,big veg,1837.5,396.90000000000003
V132,137,UF6,0.0,4,small veg,big veg,1712.5,369.90000000000003
V133,133,UF4,0.0,4,small veg,,13286.7,
V134,107,UF1,1.0,4,worm,,521.09,
V135,105,UF4,0.0,4,small veg,,10489.5,
V137,84,UF6,0.0,4,small veg,big veg,1050.0,226.8
V138,83,UF4,0.0,4,small veg,,8291.7,
V139,73,UF6,0.0,4,small veg,big veg,912.5,197.10000000000002
V140,56,UF6,0.0,4,small veg,big veg,700.0,151.20000000000002
V141,54,UF6,0.0,4,small veg,big veg,675.0,145.8
V142,47,UF6,0.0,4,small veg,big veg,587.5,126.9
V144,22,UF4,0.0,4,small veg,,2197.8,
V145,17,UF6,0.0,4,small veg,big veg,212.5,45.900000000000006
